,names,price,time_ago,address,time_scraped,area_name
0,Shell,134.9,1 day ago,"703 42nd Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
1,Husky,129.9,1 hour ago,"4201 Macleod Tr SCalgary, AB",2018-09-09 18:03:51.421614,calgary
2,Esso,134.9,4 hours ago,"1201 1st St SECalgary, AB",2018-09-09 18:03:51.421614,calgary
3,7-Eleven,134.6,1 hour ago,"4001 Macleod Tr SCalgary, AB",2018-09-09 18:03:51.421614,calgary
4,Petro-Canada,130.9,1 day ago,"1840 9th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
5,Petro-Canada,137.9,1 day ago,"1920 4th St SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
6,Gas Plus,129.9,4 hours ago,"204 11th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
7,Shell,134.9,1 hour ago,"539 17th Ave SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
8,Centex,130.9,23 hours ago,"808 19th St SECalgary, AB",2018-09-09 18:03:51.421614,calgary
9,Husky,129.9,1 hour ago,"5316 Macleod Tr SCalgary, AB",2018-09-09 18:03:51.421614,calgary
10,Husky,129.9,1 hour ago,"5316 Macleod Tr SCalgary, AB",2018-09-09 18:03:51.421614,calgary
11,Husky,124.9,3 hours ago,"510 58th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
12,Petro-Canada,124.9,2 hours ago,"336 58th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
13,Petro-Canada,134.9,25 minutes ago,"630 1st Ave NECalgary, AB",2018-09-09 18:03:51.421614,calgary
14,Shell,134.9,1 hour ago,"5919 Macleod Tr SCalgary, AB",2018-09-09 18:03:51.421614,calgary
15,Esso,134.9,5 hours ago,"2619 14th St  SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
16,Centex,134.9,25 minutes ago,"12 4th St NECalgary, AB",2018-09-09 18:03:51.421614,calgary
17,Shell,134.9,1 hour ago,"1304 14th St SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
18,Gas Plus,131.9,5 hours ago,"4004 26th St SECalgary, AB",2018-09-09 18:03:51.421614,calgary
19,Husky,134.9,1 hour ago,"1205 14th St SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
20,Costco,121.9,31 minutes ago,"99 Heritage Gate SECalgary, AB",2018-09-09 18:03:51.421614,calgary
21,Husky,134.9,1 hour ago,"1205 14th St SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
22,Shell,134.9,14 hours ago,"7014 Fairmount Dr SECalgary, AB",2018-09-09 18:03:51.421614,calgary
23,Petro-Canada,127.9,5 hours ago,"2515 50th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
24,Esso,134.9,23 hours ago,"6815 Macleod Tr SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
25,Fair Deal Tire,128.9,1 day ago,"2740 17th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
26,Co-op,132.9,13 minutes ago,"6905 Macleod Tr SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
27,Smart Mart & Gas,131.9,1 day ago,"3101 34th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
28,Esso,132.9,18 hours ago,"2825 17th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
29,Co-op,134.9,1 hour ago,"6 Heritage Gate SECalgary, AB",2018-09-09 18:03:51.421614,calgary
30,Esso,132.9,18 hours ago,"2825 17th Ave SECalgary, AB",2018-09-09 18:03:51.421614,calgary
31,Shell,134.9,56 minutes ago,"505 10th St  NWCalgary, AB",2018-09-09 18:03:51.421614,calgary
32,7-Eleven,134.9,18 hours ago,"7102 Elbow Dr SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
33,Mobil @ Superstore,134.9,5 hours ago,"100-20 Heritage Meadows Way SECalgary, AB",2018-09-09 18:03:51.421614,calgary
34,Petro-Canada,134.9,1 hour ago,"624 16th Ave NECalgary, AB",2018-09-09 18:03:51.421614,calgary
35,Petro-Canada,134.9,1 day ago,"2235 33rd Ave SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
36,Petro-Canada,134.9,11 hours ago,"7603 Macleod Tr SWCalgary, AB",2018-09-09 18:03:51.421614,calgary
37,Petro-Canada,134.9,17 hours ago,"839 19th St NECalgary, AB",2018-09-09 18:03:51.421614,calgary
