date,Calgary,Edmonton,Kelowna,Red Deer,Vancouver,Victoria
2018-09-12,87,84.6,94,87,90.6,92.2
2018-09-13,86.8,84.4,93.8,86.8,90.1,91.7
2018-09-14,85.5,83.1,92.5,85.5,88.3,89.9
2018-09-17,84.9,82.5,91.9,84.9,87.8,89.4
2018-09-18,85.9,83.5,92.9,85.9,87.8,89.4
2018-09-19,87.8,85.4,94.8,87.8,88.7,90.3
2018-09-20,89,86.6,96,89,88.9,90.5
2018-09-21,88.4,86,95.4,88.4,88.8,90.4
2018-09-24,88,85.6,95,88,88.9,90.5
2018-09-25,89.4,87,96.4,89.4,90.3,91.9
2018-09-26,88.4,86,95.4,88.4,91.5,93.1
2018-09-27,88.1,85.7,95.1,88.1,91.3,92.9
2018-09-28,88.5,86.1,95.5,88.5,92,93.6
2018-10-01,88.1,85.7,95.1,88.1,91.8,93.4
2018-10-02,88.5,86.1,95.5,88.5,93.3,94.9
2018-10-03,86.8,84.4,93.8,86.8,94.7,96.3
2018-10-04,86.8,84.4,93.8,86.8,94.9,96.5
2018-10-05,86,83.6,93,86,94.8,96.4
2018-10-08,86,83.6,93,86,94.8,96.4
2018-10-09,85.9,83.5,92.9,85.9,95.4,97
2018-10-10,83.8,81.4,90.8,83.8,94.7,96.3
2018-10-11,80.8,78.4,87.8,80.8,98.1,99.7
2018-10-12,77.6,75.2,84.6,77.6,100.6,102.2
2018-10-15,78,75.6,85,78,99,100.6
2018-10-16,77.4,75,84.4,77.4,94.2,95.8
2018-10-17,78.2,75.8,85.2,78.2,95.4,97
2018-10-18,76.8,74.4,83.8,76.8,93,94.6
2018-10-19,77.7,75.3,84.7,77.7,89.3,90.9
2018-10-22,78.6,76.2,85.6,78.6,90.3,91.9
2018-10-23,78.9,76.5,85.9,78.9,89.6,91.2
2018-10-24,76.3,73.9,83.3,76.3,87.1,88.7
2018-10-25,76.3,73.9,83.3,76.3,86.6,88.2
2018-10-26,75.4,73,82.4,75.4,87.5,89.1
2018-10-29,76.4,74,83.4,76.4,89.7,91.3
2018-10-30,77.1,74.7,84.1,77.1,89.9,91.5
2018-10-31,78.4,76,85.4,78.4,89.3,90.9
2018-11-01,77.3,74.9,84.3,77.3,87.5,89.1
2018-11-02,76.7,74.3,83.7,76.7,84,85.6
2018-11-05,77.4,75,84.4,77.4,82.8,84.4
2018-11-06,74.3,71.9,81.3,74.3,82.4,84
2018-11-07,73.8,71.4,80.8,73.8,83.7,85.3
2018-11-08,71.5,69.1,78.5,71.5,82.3,83.9
2018-11-09,70.5,68.1,77.5,70.5,81.3,82.9
2018-11-12,69.7,67.3,76.7,69.7,81,82.6
2018-11-13,69.9,67.5,76.9,69.9,81.7,83.3
2018-11-14,67.3,64.9,74.3,67.3,76.4,78
2018-11-15,68.6,66.2,75.6,68.6,77.8,79.4
2018-11-16,66.9,64.5,73.9,66.9,77.3,78.9
2018-11-19,67.3,64.9,74.3,67.3,77.6,79.2
2018-11-20,69.7,67.3,76.7,69.7,80.3,81.9
2018-11-21,67.9,65.5,74.9,67.9,77.7,79.3
2018-11-22,67.8,65.4,74.8,67.8,80.2,81.8
2018-11-23,67.7,65.3,74.7,67.7,80.1,81.7
2018-11-26,63.5,61.1,70.5,63.5,76,77.6
2018-11-27,64,61.6,71,64,77.9,79.5
2018-11-28,61.8,59.4,68.8,61.8,76,77.6
2018-11-29,60.6,58.2,67.6,60.6,75.2,76.8
2018-11-30,62.3,59.9,69.3,62.3,75.8,77.4
