,names,price,time_ago,address,time_scraped,area_name,rack_area_name,time_diff,time,date,tax_less,city,rack,margin
0,Shell,132.9,2 hours,"703 42nd Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,96.84142857142857,calgary,88.4,8.44142857142856
1,Husky,131.9,2 hours,"4201 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
2,7-Eleven,131.6,2 hours,"4001 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.60333333333332,calgary,88.4,7.203333333333319
3,Petro-Canada,131.9,4 hours,"1840 9th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
4,Centex,130.9,13 hours,"808 19th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 13:00:00.000000000,2018-09-26 12:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
5,Husky,131.9,10 hours,"5316 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 10:00:00.000000000,2018-09-26 15:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
7,Petro-Canada,131.9,7 hours,"336 58th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
8,Shell,131.9,12 hours,"5919 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 12:00:00.000000000,2018-09-26 13:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
9,Esso,127.9,2 hours,"2619 14th St  SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,92.0795238095238,calgary,88.4,3.6795238095238005
10,Shell,131.9,9 hours,"7014 Fairmount Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 09:00:00.000000000,2018-09-26 16:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
11,Petro-Canada,131.9,2 hours,"2515 50th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
12,Esso,131.9,3 hours,"6815 Macleod Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
13,Co-op,131.9,3 hours,"6905 Macleod Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
14,Smart Mart & Gas,131.9,6 hours,"3101 34th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 06:00:00.000000000,2018-09-26 19:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
15,7-Eleven,131.9,16 hours,"7102 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 16:00:00.000000000,2018-09-26 09:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
16,Petro-Canada,133.9,1 day,"2235 33rd Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,1 days 00:00:00.000000000,2018-09-26 01:26:09,2018-09-26 00:00:00,97.79380952380951,calgary,88.4,9.393809523809509
17,Centex,131.9,1 day,"3110 36th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,1 days 00:00:00.000000000,2018-09-26 01:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
